pre,post,type,weight,neurotransmitter
HSNR,HSNL,gap,1,
HSNR,VC04,chemical,1,acetylcholine
VC01,VC02,gap,1,
VC02,VC01,gap,1,
VC02,VC03,gap,1,
VC03,VC02,gap,1,
VC03,VC04,gap,1,
VC04,VC03,gap,1,
VC04,VC05,gap,1,
VC05,VC04,gap,1,
VC05,VC06,gap,1,
VC06,VC05,gap,1,
URADL,URADR,gap,1,
URADR,URADL,gap,1,
URAVL,URAVR,gap,1,
URAVR,URAVL,gap,1,
PDA,AVAL,chemical,1,acetylcholine
PDA,AVAR,chemical,1,acetylcholine
PDB,AVBL,chemical,1,acetylcholine
PDB,AVBR,chemical,1,acetylcholine
ALA,AVAL,chemical,1,acetylcholine
ALA,AVAR,chemical,1,acetylcholine
ALNL,ALNR,gap,1,
ALNL,AVDL,chemical,1,glutamate
ALNR,ALNL,gap,1,
ALNR,AVDR,chemical,1,glutamate
AQR,AVBL,chemical,1,glutamate
AQR,AVBR,chemical,1,glutamate
PQR,AVDL,chemical,1,glutamate
PQR,AVDR,chemical,1,glutamate
PLNL,PLNR,gap,1,
PLNL,PVCL,chemical,1,glutamate
PLNR,PLNL,gap,1,
PLNR,PVCR,chemical,1,glutamate
PHBL,PHBR,gap,1,
PHBL,AVAL,chemical,1,glutamate
PHBL,AVDL,chemical,1,glutamate
PHBR,PHBL,gap,1,
PHBR,AVAR,chemical,1,glutamate
PHBR,AVDR,chemical,1,glutamate
PHAL,PHAR,gap,1,
PHAL,AVDL,chemical,1,glutamate
PHAL,AVBL,chemical,1,glutamate
PHAR,PHAL,gap,1,
PHAR,AVDR,chemical,1,glutamate
PHAR,AVBR,chemical,1,glutamate
PHCL,PHCR,gap,1,
PHCL,AVAL,chemical,1,glutamate
PHCR,PHCL,gap,1,
PHCR,AVAR,chemical,1,glutamate
FLPL,FLPR,gap,1,
FLPL,AVDL,chemical,1,glutamate
FLPL,AVEL,chemical,1,glutamate
FLPR,FLPL,gap,1,
FLPR,AVDR,chemical,1,glutamate
FLPR,AVER,chemical,1,glutamate
IL1DL,IL1DR,gap,1,
IL1DL,RMDDL,chemical,1,glutamate
IL1DR,IL1DL,gap,1,
IL1DR,RMDDR,chemical,1,glutamate
IL1VL,IL1VR,gap,1,
IL1VL,RMDVL,chemical,1,glutamate
IL1VR,IL1VL,gap,1,
IL1VR,RMDVR,chemical,1,glutamate
IL1L,IL1R,gap,1,
IL1L,RMDL,chemical,1,glutamate
IL1R,IL1L,gap,1,
IL1R,RMDR,chemical,1,glutamate
IL2DL,IL2DR,gap,1,
IL2DR,IL2DL,gap,1,
IL2L,IL2R,gap,1,
IL2R,IL2L,gap,1,
IL2VL,IL2VR,gap,1,
IL2VR,IL2VL,gap,1,
OLLL,OLLR,gap,1,
OLLL,RMDL,chemical,1,glutamate
OLLR,OLLL,gap,1,
OLLR,RMDR,chemical,1,glutamate
OLQDL,OLQDR,gap,1,
OLQDL,RMDDL,chemical,1,glutamate
OLQDR,OLQDL,gap,1,
OLQDR,RMDDR,chemical,1,glutamate
OLQVL,OLQVR,gap,1,
OLQVL,RMDVL,chemical,1,glutamate
OLQVR,OLQVL,gap,1,
OLQVR,RMDVR,chemical,1,glutamate
CEPDL,CEPDR,gap,1,
CEPDL,RIAL,chemical,1,glutamate
CEPDR,CEPDL,gap,1,
CEPDR,RIAR,chemical,1,glutamate
CEPVL,CEPVR,gap,1,
CEPVL,RIAL,chemical,1,glutamate
CEPVR,CEPVL,gap,1,
CEPVR,RIAR,chemical,1,glutamate
I1L,I1R,gap,1,
I1L,M3L,chemical,1,acetylcholine
I1R,I1L,gap,1,
I1R,M3R,chemical,1,acetylcholine
I2L,I2R,gap,1,
I2L,M1,chemical,1,acetylcholine
I2R,I2L,gap,1,
I2R,M1,chemical,1,acetylcholine
I3,M1,chemical,1,acetylcholine
I3,M2L,chemical,1,acetylcholine
I3,M2R,chemical,1,acetylcholine
I4,M3L,chemical,1,acetylcholine
I4,M3R,chemical,1,acetylcholine
I5,M4,chemical,1,acetylcholine
I6,M4,chemical,1,acetylcholine
I6,M5,chemical,1,acetylcholine
M1,M2L,chemical,1,acetylcholine
M1,M2R,chemical,1,acetylcholine
M2L,M2R,gap,1,
M2R,M2L,gap,1,
M3L,M3R,gap,1,
M3L,MCL,chemical,1,acetylcholine
M3R,M3L,gap,1,
M3R,MCR,chemical,1,acetylcholine
M4,M5,chemical,1,acetylcholine
M4,I6,chemical,1,acetylcholine
M5,MI,chemical,1,acetylcholine
MCL,MCR,gap,1,
MCR,MCL,gap,1,
MI,M5,chemical,1,acetylcholine
NSML,NSMR,gap,1,
NSML,AIZL,chemical,1,serotonin
NSMR,NSML,gap,1,
NSMR,AIZR,chemical,1,serotonin
